,class,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population
43,p,x,y,w,p,f,c,p,e,e,s,s,w,p,w,o,p,n,v
44,e,x,s,y,a,f,c,w,e,c,s,s,w,p,w,o,p,k,n
45,e,x,y,w,a,f,c,n,e,c,s,s,w,p,w,o,p,n,n
46,e,x,y,y,l,f,c,k,e,c,s,s,w,p,w,o,p,k,s
47,e,x,s,w,l,f,c,w,e,c,s,s,w,p,w,o,p,n,n
48,e,x,y,y,l,f,c,n,e,r,s,y,w,p,w,o,p,n,s
49,e,f,y,y,l,f,c,w,e,r,s,y,w,p,w,o,p,k,s
50,e,x,y,n,a,f,c,w,e,r,s,y,w,p,w,o,p,k,s
51,e,x,s,w,l,f,c,k,e,c,s,s,w,p,w,o,p,k,s
52,e,b,s,w,l,f,c,k,e,c,s,s,w,p,w,o,p,n,n
53,p,x,y,n,p,f,c,k,e,e,s,s,w,p,w,o,p,n,v
54,p,x,s,w,p,f,c,k,e,e,s,s,w,p,w,o,p,k,v
55,e,b,y,y,a,f,c,w,e,c,s,s,w,p,w,o,p,k,s
56,e,f,f,g,n,f,w,n,t,e,s,s,w,p,w,o,e,n,a
57,e,b,s,w,a,f,c,w,e,c,s,s,w,p,w,o,p,n,n
58,e,x,s,y,l,f,c,k,e,c,s,s,w,p,w,o,p,k,n
59,e,x,y,n,a,f,c,p,e,r,s,y,w,p,w,o,p,k,y
60,e,s,f,g,n,f,c,k,e,e,s,s,w,p,w,o,p,n,v
61,e,b,y,y,a,f,c,k,e,c,s,s,w,p,w,o,p,n,s
62,e,b,s,y,l,f,c,g,e,c,s,s,w,p,w,o,p,n,s
63,e,b,y,y,l,f,c,g,e,c,s,s,w,p,w,o,p,n,n
64,e,b,y,w,l,f,c,n,e,c,s,s,w,p,w,o,p,n,s
65,e,f,s,n,n,f,w,k,t,e,s,s,w,p,w,o,e,k,a
66,e,x,s,w,l,f,c,n,e,c,s,s,w,p,w,o,p,k,s
67,e,f,y,y,a,f,c,w,e,r,s,y,w,p,w,o,p,n,s
68,e,x,y,y,a,f,c,w,e,c,s,s,w,p,w,o,p,k,n
69,e,x,f,g,n,f,c,p,e,e,s,s,w,p,w,o,p,n,v
70,e,f,f,y,l,f,w,p,t,b,s,s,w,p,w,o,p,n,v
71,e,b,y,w,l,f,c,g,e,c,s,s,w,p,w,o,p,n,s
72,e,f,f,y,l,f,w,w,t,b,s,s,w,p,w,o,p,n,v
73,e,x,y,n,a,f,c,p,e,r,s,y,w,p,w,o,p,k,s
74,e,b,s,y,a,f,c,k,e,c,s,s,w,p,w,o,p,k,s
75,e,f,s,y,l,f,w,p,t,b,s,s,w,p,w,o,p,n,v
76,e,x,s,w,l,f,w,n,t,b,s,s,w,p,w,o,p,u,v
77,e,f,y,n,l,f,c,p,e,r,s,y,w,p,w,o,p,n,y
78,p,x,y,n,p,f,c,w,e,e,s,s,w,p,w,o,p,n,v
79,e,f,y,n,a,f,c,n,e,r,s,y,w,p,w,o,p,n,y
80,e,x,s,n,n,f,w,k,t,e,f,s,w,p,w,o,e,n,s
81,p,x,y,w,p,f,c,w,e,e,s,s,w,p,w,o,p,k,s
82,e,f,f,g,n,f,c,n,e,e,s,s,w,p,w,o,p,n,y
83,e,x,f,g,n,f,w,n,t,e,s,s,w,p,w,o,e,n,s
84,e,x,y,y,l,f,c,w,e,r,s,y,w,p,w,o,p,k,s
85,e,x,s,n,n,f,w,k,t,e,s,s,w,p,w,o,e,k,s
86,e,b,s,w,a,f,c,w,e,c,s,s,w,p,w,o,p,k,s
87,e,x,s,w,l,f,c,n,e,c,s,s,w,p,w,o,p,n,s
88,e,f,y,n,l,f,c,w,e,r,s,y,w,p,w,o,p,k,y
89,e,s,f,n,n,f,c,n,e,e,s,s,w,p,w,o,p,n,v
90,e,x,f,n,n,f,c,n,e,e,s,s,w,p,w,o,p,n,y
91,e,b,s,w,l,f,c,k,e,c,s,s,w,p,w,o,p,k,s
92,e,x,y,y,a,f,c,g,e,c,s,s,w,p,w,o,p,k,s
93,e,x,y,y,l,f,c,g,e,c,s,s,w,p,w,o,p,k,n
94,e,x,s,n,n,f,w,n,t,e,s,s,w,p,w,o,e,n,a
95,e,x,s,w,a,f,c,g,e,c,s,s,w,p,w,o,p,n,s
96,e,f,y,n,l,f,c,p,e,r,s,y,w,p,w,o,p,n,s
97,e,x,s,y,a,f,c,n,e,c,s,s,w,p,w,o,p,k,n
98,e,b,s,w,a,f,c,g,e,c,s,s,w,p,w,o,p,n,s
99,e,x,y,w,a,f,c,g,e,c,s,s,w,p,w,o,p,k,s
100,e,x,f,n,n,f,w,p,t,e,f,s,w,p,w,o,e,k,s
101,e,b,s,y,l,f,c,n,e,c,s,s,w,p,w,o,p,k,n
102,e,f,y,y,l,f,c,w,e,r,s,y,w,p,w,o,p,n,s
103,e,x,y,y,a,f,c,n,e,r,s,y,w,p,w,o,p,k,y
104,e,b,y,w,l,f,c,g,e,c,s,s,w,p,w,o,p,n,n
105,e,x,y,y,a,f,c,n,e,c,s,s,w,p,w,o,p,k,n
106,e,x,y,y,a,f,c,w,e,r,s,y,w,p,w,o,p,n,y
107,e,b,y,w,l,f,c,n,e,c,s,s,w,p,w,o,p,k,s
108,e,b,y,w,a,f,c,g,e,c,s,s,w,p,w,o,p,n,s
109,e,x,s,y,a,f,c,k,e,c,s,s,w,p,w,o,p,k,n
110,e,x,s,y,l,f,c,w,e,c,s,s,w,p,w,o,p,k,n
111,e,s,f,g,n,f,c,g,e,e,s,s,w,p,w,o,p,k,y
112,e,x,f,w,a,f,w,w,t,b,s,s,w,p,w,o,p,u,v
113,e,x,s,y,a,f,c,n,e,c,s,s,w,p,w,o,p,k,n
114,p,x,y,w,p,f,c,n,e,e,s,s,w,p,w,o,p,n,v
115,e,x,y,y,l,f,c,p,e,r,s,y,w,p,w,o,p,n,s
116,e,s,f,g,n,f,c,p,e,e,s,s,w,p,w,o,p,n,y
117,e,x,y,y,l,f,c,w,e,r,s,y,w,p,w,o,p,k,y
118,e,x,s,y,l,f,w,p,t,b,s,s,w,p,w,o,p,u,v
119,e,s,f,n,n,f,c,k,e,e,s,s,w,p,w,o,p,n,y
120,p,x,s,w,p,f,c,k,e,e,s,s,w,p,w,o,p,k,v
121,e,x,y,w,a,f,c,g,e,c,s,s,w,p,w,o,p,n,n
122,p,f,y,n,p,f,c,p,e,e,s,s,w,p,w,o,p,k,v
123,e,f,s,g,n,f,w,k,t,e,s,s,w,p,w,o,e,n,a
124,e,x,s,y,l,f,c,g,e,c,s,s,w,p,w,o,p,n,s
125,e,x,s,w,n,f,w,n,t,e,s,f,w,p,w,o,e,k,s
126,e,b,s,y,a,f,c,w,e,c,s,s,w,p,w,o,p,n,n
127,e,f,f,g,n,f,w,h,t,e,s,s,w,p,w,o,e,n,a
128,e,x,s,w,l,f,c,n,e,c,s,s,w,p,w,o,p,k,n
129,e,b,s,w,l,f,c,n,e,c,s,s,w,p,w,o,p,n,s
130,e,b,s,w,l,f,c,w,e,c,s,s,w,p,w,o,p,n,s
131,e,b,y,w,l,f,c,w,e,c,s,s,w,p,w,o,p,n,s
132,e,f,s,w,l,f,w,w,t,b,s,s,w,p,w,o,p,u,v
133,e,x,y,y,l,f,c,g,e,c,s,s,w,p,w,o,p,k,s
134,e,f,s,w,a,f,w,p,t,b,s,s,w,p,w,o,p,n,v
135,p,x,y,w,p,f,c,w,e,e,s,s,w,p,w,o,p,n,v
136,e,f,f,w,l,f,w,w,t,b,s,s,w,p,w,o,p,n,v
137,e,x,y,y,a,f,c,n,e,c,s,s,w,p,w,o,p,n,s
138,p,x,s,n,p,f,c,p,e,e,s,s,w,p,w,o,p,n,v
139,e,b,s,y,l,f,c,w,e,c,s,s,w,p,w,o,p,n,n
140,e,x,y,n,a,f,c,w,e,r,s,y,w,p,w,o,p,k,y
141,e,b,y,y,l,f,c,g,e,c,s,s,w,p,w,o,p,k,n
142,e,s,f,n,n,f,c,k,e,e,s,s,w,p,w,o,p,n,v
143,e,f,y,n,a,f,c,w,e,r,s,y,w,p,w,o,p,k,y
144,e,x,y,y,a,f,c,k,e,c,s,s,w,p,w,o,p,k,n
145,e,x,f,g,n,f,w,k,t,e,f,f,w,p,w,o,e,k,s
146,e,f,f,w,n,f,w,k,t,e,s,f,w,p,w,o,e,n,a
147,e,x,y,y,l,f,c,w,e,c,s,s,w,p,w,o,p,n,n
148,e,b,s,y,l,f,c,k,e,c,s,s,w,p,w,o,p,k,n
149,e,b,y,w,a,f,c,g,e,c,s,s,w,p,w,o,p,k,n
150,e,x,y,w,a,f,c,w,e,c,s,s,w,p,w,o,p,n,s
151,e,x,s,n,n,f,w,p,t,e,f,s,w,p,w,o,e,n,a
152,e,x,y,w,l,f,c,g,e,c,s,s,w,p,w,o,p,n,s
153,e,s,f,n,n,f,c,k,e,e,s,s,w,p,w,o,p,k,v
154,e,x,s,w,a,f,w,w,t,b,s,s,w,p,w,o,p,u,v
155,e,x,y,n,l,f,c,w,e,r,s,y,w,p,w,o,p,k,s
156,e,b,y,y,a,f,c,k,e,c,s,s,w,p,w,o,p,n,n
157,e,x,y,w,a,f,c,k,e,c,s,s,w,p,w,o,p,n,n
158,e,b,y,w,a,f,c,n,e,c,s,s,w,p,w,o,p,k,s
159,e,b,s,y,a,f,c,g,e,c,s,s,w,p,w,o,p,k,s
160,e,b,s,y,l,f,c,g,e,c,s,s,w,p,w,o,p,k,s
161,e,b,y,y,a,f,c,n,e,c,s,s,w,p,w,o,p,k,n
162,e,x,f,n,n,f,c,k,e,e,s,s,w,p,w,o,p,n,y
163,e,f,y,n,l,f,c,n,e,r,s,y,w,p,w,o,p,n,y
164,e,x,y,w,a,f,c,k,e,c,s,s,w,p,w,o,p,n,s
165,e,f,y,y,l,f,c,w,e,r,s,y,w,p,w,o,p,n,y
166,e,b,s,w,a,f,c,w,e,c,s,s,w,p,w,o,p,n,s
167,e,b,s,w,a,f,c,w,e,c,s,s,w,p,w,o,p,k,s
168,e,x,y,n,l,f,c,w,e,r,s,y,w,p,w,o,p,k,y
169,e,b,s,w,a,f,c,k,e,c,s,s,w,p,w,o,p,k,s
170,e,x,f,g,n,f,c,g,e,e,s,s,w,p,w,o,p,n,y
171,e,b,s,y,l,f,c,k,e,c,s,s,w,p,w,o,p,n,s
172,e,x,f,y,l,f,w,n,t,b,s,s,w,p,w,o,p,u,v
173,e,b,y,y,a,f,c,w,e,c,s,s,w,p,w,o,p,k,s
174,e,f,y,y,l,f,c,p,e,r,s,y,w,p,w,o,p,n,s
175,e,b,y,w,l,f,c,w,e,c,s,s,w,p,w,o,p,k,n
176,e,b,y,w,a,f,c,k,e,c,s,s,w,p,w,o,p,k,n
177,e,b,y,y,a,f,c,g,e,c,s,s,w,p,w,o,p,n,s
178,e,x,y,y,l,f,c,g,e,c,s,s,w,p,w,o,p,n,n
179,e,b,s,y,l,f,c,g,e,c,s,s,w,p,w,o,p,n,n
180,p,x,y,w,p,f,c,p,e,e,s,s,w,p,w,o,p,n,v
181,e,s,f,n,n,f,c,g,e,e,s,s,w,p,w,o,p,n,y
182,e,f,f,n,n,f,c,g,e,e,s,s,w,p,w,o,p,k,v
183,e,x,s,y,a,f,c,g,e,c,s,s,w,p,w,o,p,n,s
184,e,f,y,n,a,f,c,p,e,r,s,y,w,p,w,o,p,k,s
185,p,x,y,w,p,f,c,k,e,e,s,s,w,p,w,o,p,k,s
186,e,b,s,w,l,f,c,g,e,c,s,s,w,p,w,o,p,n,s
187,e,f,f,g,n,f,c,p,e,e,s,s,w,p,w,o,p,k,v
188,e,b,y,y,l,f,c,g,e,c,s,s,w,p,w,o,p,n,n
189,e,x,y,n,a,f,c,w,e,r,s,y,w,p,w,o,p,n,y
190,e,x,f,w,n,f,w,p,t,e,s,f,w,p,w,o,e,k,s
191,e,x,s,w,l,f,w,w,t,b,s,s,w,p,w,o,p,n,v
192,e,b,s,w,l,f,c,w,e,c,s,s,w,p,w,o,p,n,s
193,e,f,s,y,a,f,w,w,t,b,s,s,w,p,w,o,p,n,v
194,e,x,s,y,a,f,c,k,e,c,s,s,w,p,w,o,p,n,n
195,e,f,f,g,n,f,c,g,e,e,s,s,w,p,w,o,p,n,y
196,e,b,s,y,a,f,c,n,e,c,s,s,w,p,w,o,p,k,s
197,e,x,s,w,l,f,c,g,e,c,s,s,w,p,w,o,p,n,n
198,e,x,y,w,l,f,c,n,e,c,s,s,w,p,w,o,p,n,s
199,e,f,s,w,a,f,w,n,t,b,s,s,w,p,w,o,p,n,v
200,e,x,y,y,l,f,c,w,e,c,s,s,w,p,w,o,p,n,s
201,e,b,s,w,l,f,c,w,e,c,s,s,w,p,w,o,p,k,s
202,e,x,s,w,a,f,c,g,e,c,s,s,w,p,w,o,p,k,n
203,e,x,f,w,n,f,w,h,t,e,f,s,w,p,w,o,e,k,s
204,e,f,y,n,l,f,c,n,e,r,s,y,w,p,w,o,p,k,y
205,p,x,s,w,p,f,c,k,e,e,s,s,w,p,w,o,p,n,v
206,e,b,s,w,a,f,c,n,e,c,s,s,w,p,w,o,p,n,n
207,e,b,s,w,a,f,c,k,e,c,s,s,w,p,w,o,p,k,s
208,e,b,y,w,l,f,c,n,e,c,s,s,w,p,w,o,p,n,n
209,e,b,y,w,a,f,c,w,e,c,s,s,w,p,w,o,p,k,n
210,e,x,s,y,a,f,c,w,e,c,s,s,w,p,w,o,p,k,s
211,e,b,s,w,l,f,c,w,e,c,s,s,w,p,w,o,p,k,n
212,e,x,f,y,a,f,w,n,t,b,s,s,w,p,w,o,p,n,v
213,e,x,f,g,n,f,c,n,e,e,s,s,w,p,w,o,p,n,y
214,e,f,y,y,a,f,c,n,e,r,s,y,w,p,w,o,p,n,s
215,e,b,s,w,l,f,c,n,e,c,s,s,w,p,w,o,p,k,n
216,e,x,s,y,a,f,c,g,e,c,s,s,w,p,w,o,p,k,s
217,e,x,y,y,a,f,c,k,e,c,s,s,w,p,w,o,p,k,s
218,e,x,y,w,l,f,c,w,e,c,s,s,w,p,w,o,p,n,s
219,e,s,f,g,n,f,c,p,e,e,s,s,w,p,w,o,p,n,v
220,e,x,s,w,a,f,c,n,e,c,s,s,w,p,w,o,p,n,n
221,p,x,s,w,p,f,c,k,e,e,s,s,w,p,w,o,p,k,s
222,e,x,y,y,a,f,c,n,e,r,s,y,w,p,w,o,p,n,s
223,e,f,f,w,a,f,w,p,t,b,s,s,w,p,w,o,p,n,v
224,e,x,y,w,l,f,c,g,e,c,s,s,w,p,w,o,p,k,n
225,e,b,y,w,l,f,c,n,e,c,s,s,w,p,w,o,p,k,s
226,e,x,s,w,a,f,c,g,e,c,s,s,w,p,w,o,p,n,n
227,e,x,s,y,a,f,c,g,e,c,s,s,w,p,w,o,p,n,s
228,p,x,y,n,p,f,c,p,e,e,s,s,w,p,w,o,p,k,v
229,e,b,s,y,a,f,c,n,e,c,s,s,w,p,w,o,p,n,n
230,e,x,f,g,n,f,c,n,e,e,s,s,w,p,w,o,p,k,y
231,p,x,y,w,p,f,c,k,e,e,s,s,w,p,w,o,p,k,s
232,e,x,y,y,l,f,c,n,e,r,s,y,w,p,w,o,p,n,y
233,e,f,f,n,n,f,c,k,e,e,s,s,w,p,w,o,p,k,v
234,e,b,s,w,l,f,c,k,e,c,s,s,w,p,w,o,p,n,n
235,e,x,f,w,l,f,w,w,t,b,s,s,w,p,w,o,p,n,v
236,e,x,y,w,l,f,c,w,e,c,s,s,w,p,w,o,p,k,s
237,e,b,y,y,l,f,c,n,e,c,s,s,w,p,w,o,p,n,s
238,e,x,y,y,l,f,c,n,e,r,s,y,w,p,w,o,p,k,s
239,e,f,y,y,a,f,c,p,e,r,s,y,w,p,w,o,p,k,s
240,e,f,y,y,a,f,c,w,e,r,s,y,w,p,w,o,p,k,y
241,e,x,s,w,l,f,c,w,e,c,s,s,w,p,w,o,p,k,s
242,e,x,s,w,a,f,c,w,e,c,s,s,w,p,w,o,p,n,n
243,p,x,s,w,p,f,c,n,e,e,s,s,w,p,w,o,p,k,v
244,e,f,f,w,a,f,w,p,t,b,s,s,w,p,w,o,p,u,v
245,e,x,s,w,l,f,c,w,e,c,s,s,w,p,w,o,p,n,s
246,e,x,s,w,l,f,w,p,t,b,s,s,w,p,w,o,p,u,v
247,e,x,y,w,a,f,c,n,e,c,s,s,w,p,w,o,p,k,s
248,e,f,y,y,l,f,c,w,e,r,s,y,w,p,w,o,p,k,y
249,e,x,s,n,n,f,w,p,t,e,f,s,w,p,w,o,e,k,s
250,e,f,y,y,a,f,c,w,e,r,s,y,w,p,w,o,p,n,y
251,p,x,s,n,p,f,c,p,e,e,s,s,w,p,w,o,p,n,s
252,e,s,f,n,n,f,c,g,e,e,s,s,w,p,w,o,p,n,v
253,e,b,y,y,l,f,c,w,e,c,s,s,w,p,w,o,p,n,s
254,e,b,s,w,l,f,c,n,e,c,s,s,w,p,w,o,p,n,s
255,e,b,y,w,l,f,c,k,e,c,s,s,w,p,w,o,p,n,n
256,e,f,f,n,n,f,c,k,e,e,s,s,w,p,w,o,p,n,v
257,e,x,s,w,a,f,c,w,e,c,s,s,w,p,w,o,p,k,n
258,e,b,y,w,l,f,c,g,e,c,s,s,w,p,w,o,p,k,n
259,e,b,y,w,a,f,c,g,e,c,s,s,w,p,w,o,p,n,n
260,e,f,y,n,l,f,c,w,e,r,s,y,w,p,w,o,p,n,s
261,p,x,y,w,p,f,c,k,e,e,s,s,w,p,w,o,p,k,v
262,e,x,s,w,a,f,c,n,e,c,s,s,w,p,w,o,p,n,n
263,e,x,y,w,a,f,c,n,e,c,s,s,w,p,w,o,p,n,s
264,e,f,f,w,l,f,w,w,t,b,s,s,w,p,w,o,p,u,v
265,e,f,f,g,n,f,c,g,e,e,s,s,w,p,w,o,p,k,v
266,e,f,s,g,n,f,w,p,t,e,s,s,w,p,w,o,e,k,a
267,e,x,y,y,a,f,c,g,e,c,s,s,w,p,w,o,p,n,s
268,e,b,s,w,a,f,c,k,e,c,s,s,w,p,w,o,p,n,s
269,p,f,y,n,p,f,c,w,e,e,s,s,w,p,w,o,p,k,s
270,e,x,s,w,l,f,c,n,e,c,s,s,w,p,w,o,p,k,n
271,p,f,s,n,p,f,c,w,e,e,s,s,w,p,w,o,p,k,v
272,e,x,y,w,l,f,c,k,e,c,s,s,w,p,w,o,p,n,s
273,e,x,y,y,a,f,c,k,e,c,s,s,w,p,w,o,p,n,n
274,e,f,y,y,a,f,c,n,e,r,s,y,w,p,w,o,p,n,s
275,e,x,y,n,a,f,c,w,e,r,s,y,w,p,w,o,p,n,s
276,e,f,y,n,a,f,c,w,e,r,s,y,w,p,w,o,p,n,y
277,e,x,y,w,a,f,c,w,e,c,s,s,w,p,w,o,p,n,n
278,e,f,f,n,n,f,w,h,t,e,s,s,w,p,w,o,e,k,s
279,e,x,s,y,l,f,c,k,e,c,s,s,w,p,w,o,p,n,n
280,p,x,y,w,p,f,c,w,e,e,s,s,w,p,w,o,p,n,s
281,e,b,y,y,a,f,c,n,e,c,s,s,w,p,w,o,p,n,n
282,e,s,f,n,n,f,c,p,e,e,s,s,w,p,w,o,p,n,v
283,e,x,s,y,l,f,c,k,e,c,s,s,w,p,w,o,p,k,s
284,e,b,y,w,l,f,c,n,e,c,s,s,w,p,w,o,p,k,n
285,e,f,y,n,a,f,c,n,e,r,s,y,w,p,w,o,p,k,s
286,e,b,y,y,a,f,c,g,e,c,s,s,w,p,w,o,p,k,s
287,e,b,y,w,a,f,c,g,e,c,s,s,w,p,w,o,p,k,s
288,e,x,y,n,l,f,c,n,e,r,s,y,w,p,w,o,p,n,y
289,e,f,f,g,n,f,c,p,e,e,s,s,w,p,w,o,p,n,y
290,e,x,f,g,n,f,c,g,e,e,s,s,w,p,w,o,p,k,y
291,e,b,y,y,l,f,c,n,e,c,s,s,w,p,w,o,p,k,s
292,e,x,s,y,l,f,c,n,e,c,s,s,w,p,w,o,p,k,s
293,e,b,y,w,l,f,c,k,e,c,s,s,w,p,w,o,p,n,s
294,e,x,s,w,a,f,c,g,e,c,s,s,w,p,w,o,p,k,s
295,e,b,s,y,a,f,c,g,e,c,s,s,w,p,w,o,p,n,n
296,e,x,s,y,a,f,c,k,e,c,s,s,w,p,w,o,p,k,s
297,e,x,f,g,n,f,w,p,t,e,f,f,w,p,w,o,e,k,s
298,e,f,s,y,a,f,w,p,t,b,s,s,w,p,w,o,p,n,v
299,p,x,y,w,p,f,c,p,e,e,s,s,w,p,w,o,p,k,s
300,e,x,f,w,n,f,w,k,t,e,f,s,w,p,w,o,e,k,a
301,e,b,y,w,a,f,c,w,e,c,s,s,w,p,w,o,p,k,s
302,e,x,s,y,l,f,w,w,t,b,s,s,w,p,w,o,p,n,v
303,e,b,y,w,a,f,c,n,e,c,s,s,w,p,w,o,p,k,s
304,e,x,y,w,l,f,c,g,e,c,s,s,w,p,w,o,p,k,s
305,e,x,f,n,n,f,c,p,t,b,s,s,p,p,w,o,p,n,y
306,e,b,y,w,l,f,c,k,e,c,s,s,w,p,w,o,p,n,s
307,e,x,s,y,l,f,c,g,e,c,s,s,w,p,w,o,p,n,n
308,e,f,y,n,a,f,c,p,e,r,s,y,w,p,w,o,p,k,y
309,e,x,f,w,n,f,w,n,t,e,s,s,w,p,w,o,e,n,s
310,e,x,s,y,l,f,c,w,e,c,s,s,w,p,w,o,p,k,s
311,p,x,y,w,p,f,c,n,e,e,s,s,w,p,w,o,p,n,v
312,e,x,y,y,l,f,c,n,e,c,s,s,w,p,w,o,p,k,s
313,e,x,f,w,a,f,w,p,t,b,s,s,w,p,w,o,p,n,v
314,e,b,s,y,a,f,c,g,e,c,s,s,w,p,w,o,p,n,n
315,p,x,y,w,p,f,c,k,e,e,s,s,w,p,w,o,p,k,v
316,e,x,s,y,a,f,w,w,t,b,s,s,w,p,w,o,p,n,v
317,e,x,y,w,a,f,c,k,e,c,s,s,w,p,w,o,p,k,n
318,e,x,f,w,l,f,w,n,t,b,s,s,w,p,w,o,p,n,v
319,e,f,s,w,l,f,w,w,t,b,s,s,w,p,w,o,p,n,v
320,e,x,y,y,l,f,c,k,e,c,s,s,w,p,w,o,p,n,s
321,e,f,f,y,a,f,w,w,t,b,s,s,w,p,w,o,p,u,v
322,e,x,s,w,a,f,c,w,e,c,s,s,w,p,w,o,p,k,s
323,e,b,y,y,a,f,c,n,e,c,s,s,w,p,w,o,p,k,s
324,e,x,y,n,l,f,c,p,e,r,s,y,w,p,w,o,p,n,s
325,e,b,y,w,l,f,c,k,e,c,s,s,w,p,w,o,p,k,n
326,e,x,s,y,a,f,c,n,e,c,s,s,w,p,w,o,p,n,s
327,p,x,y,n,p,f,c,n,e,e,s,s,w,p,w,o,p,n,v
328,e,b,s,y,l,f,c,w,e,c,s,s,w,p,w,o,p,k,n
329,e,b,y,w,a,f,c,g,e,c,s,s,w,p,w,o,p,k,n
330,p,x,y,n,p,f,c,w,e,e,s,s,w,p,w,o,p,k,v
331,e,b,s,w,l,f,c,n,e,c,s,s,w,p,w,o,p,k,s
332,e,b,y,y,l,f,c,w,e,c,s,s,w,p,w,o,p,n,n
333,e,b,y,y,a,f,c,n,e,c,s,s,w,p,w,o,p,k,s
334,e,x,y,w,l,f,c,g,e,c,s,s,w,p,w,o,p,n,n
335,e,x,f,n,n,f,c,p,t,b,s,s,w,p,w,o,p,k,y
336,e,x,y,n,a,f,c,w,e,r,s,y,w,p,w,o,p,k,y
337,e,b,s,y,l,f,c,n,e,c,s,s,w,p,w,o,p,n,s
338,e,x,f,g,n,f,c,g,e,e,s,s,w,p,w,o,p,n,v
339,e,x,y,n,l,f,c,n,e,r,s,y,w,p,w,o,p,k,y
340,e,x,s,w,a,f,c,k,e,c,s,s,w,p,w,o,p,n,s
341,e,b,y,w,a,f,c,n,e,c,s,s,w,p,w,o,p,k,n
342,e,x,s,y,a,f,c,g,e,c,s,s,w,p,w,o,p,k,s
343,e,f,f,y,a,f,w,p,t,b,s,s,w,p,w,o,p,n,v
